Description,Chamber,Created date,Energy Policy Index,URL
Relating to prohibiting the Texas Department of Transportation from participating in or using state money for certain electric vehicle infrastructure programs or plans.,House,2023-02-14,29.5385,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02236I.HTM
Relating to the assessment of damages resulting from the condemnation of property that is subject to a conservation easement.,Senate,2022-11-16,29.1236,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00201I.HTM
Relating to a rebate of the assessment on the gross receipts of electricity for certain providers of retail electric service.,Senate,2023-01-21,28.9811,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00527I.HTM
Proposing a constitutional amendment providing for the creation of the electric generating facility fund to finance construction of electric generating facilities.,House,2023-02-14,28.8,http://capitol.texas.gov/tlodocs/88R/billtext/html/HJ00112I.HTM
Relating to the operation of electric bicycles in a state park.,House,2022-11-16,28.6567,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00715I.HTM
Relating to the applicability of the gas production tax to flared or vented gas at an increased rate.,Senate,2022-12-02,28.6348,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00256I.HTM
Relating to advanced air mobility technology.,House,2023-02-23,28.5825,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02678I.HTM
Proposing a constitutional amendment relating to the authority of the legislature to permit conservation and reclamation districts in El Paso County to issue bonds supported by ad valorem taxes to fund the development and maintenance of parks and recreational facilities.,House,2023-01-19,28.4746,http://capitol.texas.gov/tlodocs/88R/billtext/html/HJ00079I.HTM
Proposing a constitutional amendment relating to the authority of the legislature to permit conservation and reclamation districts in El Paso County to issue bonds supported by ad valorem taxes to fund the development and maintenance of parks and recreational facilities.,Senate,2023-01-21,28.4746,http://capitol.texas.gov/tlodocs/88R/billtext/html/SJ00032I.HTM
Relating to the operation of a wind-powered generation facility near a joint-use airport.,House,2023-01-19,28.4444,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01443I.HTM
Relating to air conditioning requirements at facilities operated by the Texas Department of Criminal Justice.,House,2023-01-17,28.0,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01355I.HTM
Relating to the requirement of a public hearing on certain applications for a permit to drill an oil or gas well.,House,2023-01-06,27.4286,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01194I.HTM
Relating to the use of the electric generating facility fund to finance construction and maintenance of electric generating and transmission facilities in the ERCOT power region; authorizing an assessment.,Senate,2023-02-14,26.7574,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00857I.HTM
Relating to certificates of public convenience and necessity for certain transmission projects.,House,2023-01-11,26.566,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01254I.HTM
In memory of Curtis Williams Mewbourne.,Senate,2023-01-19,26.5466,http://capitol.texas.gov/tlodocs/88R/billtext/html/SR00015F.HTM
Relating to the ownership by a landowner of the geothermal energy and associated resources below the surface of the landowner's land.,House,2023-01-13,26.3014,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01336I.HTM
Relating to the ownership by a landowner of the geothermal energy and associated resources below the surface of the landowner's land.,Senate,2023-02-09,26.3014,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00785I.HTM
Congratulating Oil City Iron Works on being named the Small Employer of the Year by Workforce Solutions for North Central Texas.,House,2023-02-10,26.236,http://capitol.texas.gov/tlodocs/88R/billtext/html/HR00215I.HTM
Relating to the initiation of customer choice by municipally owned utilities that provide electric service.,House,2023-02-23,26.1818,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02663I.HTM
Relating to the initiation of customer choice by municipally owned utilities that provide electric service.,Senate,2023-02-24,26.1818,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01170I.HTM
Relating to the determination of the market value of solar energy property for ad valorem tax purposes.,Senate,2023-01-13,25.6,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00433I.HTM
Relating to required maintenance on heating and air conditioning systems at public school instructional facilities and to the liability of certain facilities handling hazardous substances for damages caused to public schools.,House,2022-11-16,25.3585,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00086I.HTM
Relating to the creation by the Texas Workforce Commission of a program to assist with transitioning certain workers to clean energy jobs.,House,2023-01-28,25.2546,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01780I.HTM
Relating to the disclosure of customer information by government-operated utilities.,Senate,2023-02-24,25.1215,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01171I.HTM
Relating to the disclosure of customer information by government-operated utilities.,House,2023-02-23,25.1215,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02664I.HTM
Relating to financial assistance by the Texas Water Development Board for backup power generators in economically distressed areas for public water supply and sanitary sewer systems.,Senate,2022-11-16,25.0435,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00053I.HTM
Relating to requirements for the physical presence of a borrower for signing certain documents related to a home equity loan.,House,2022-11-16,24.9483,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00264I.HTM
Relating to a study conducted by the Railroad Commission of Texas regarding reported gas flaring.,House,2023-01-19,24.8471,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01386I.HTM
Relating to facilities and construction machinery used to respond to power outages.,Senate,2023-02-22,24.2467,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01075I.HTM
Relating to the financial crimes intelligence center.,House,2023-02-09,24.1437,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02087I.HTM
Relating to exempting certain emergency preparation items from the sales and use tax for a limited period.,Senate,2022-12-22,23.8806,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00327I.HTM
Congratulating Kenneth B. Nolen on his induction into the Petroleum Hall of Fame.,House,2023-01-06,23.8345,http://capitol.texas.gov/tlodocs/88R/billtext/html/HC00017I.HTM
Relating to increasing criminal penalties for the offense of criminal mischief involving certain damage to residential gas meters.,Senate,2023-02-16,23.4965,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00973I.HTM
Relating to a severance tax exemption for oil and gas produced from certain restimulation wells; providing a civil penalty.,House,2023-02-09,23.3239,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02056I.HTM
Relating to municipal and county building codes.,Senate,2023-02-03,23.0928,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00674I.HTM
Relating to increasing the criminal penalty for the offense of criminal mischief involving a public power supply.,House,2023-02-03,22.5425,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01833I.HTM
Relating to periodic rate adjustments by electric utilities.,Senate,2023-02-17,22.4865,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01015I.HTM
Relating to increasing the criminal penalty for the offense of criminal mischief involving impairment of a motor fuel pump.,Senate,2023-01-14,22.1538,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00467I.HTM
Relating to transmission and distribution system resiliency planning by and cost recovery for electric utilities.,Senate,2023-02-23,21.9821,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB01111I.HTM
Relating to transmission and distribution system resiliency planning by and cost recovery for electric utilities.,House,2023-02-22,21.9821,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02555I.HTM
"Relating to the treatment, recycling for beneficial use, or disposal of drill cuttings.",Senate,2023-01-20,21.913,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00502I.HTM
"Relating to the treatment, recycling for beneficial use, or disposal of drill cuttings.",House,2022-11-16,21.913,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00618I.HTM
Relating to authorizing the increase or decrease of the rates of the gasoline and diesel fuel taxes based on the cost of certain highway projects.,House,2022-11-16,21.8309,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB00321I.HTM
Relating to the persons authorized or appointed to exercise the power of sale under the terms of a contract lien on real property.,House,2023-02-22,21.8182,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB02565I.HTM
Relating to the reduction of methane gas flaring on land dedicated to the permanent university fund.,Senate,2022-12-02,21.6,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00257I.HTM
Relating to the reduction of methane gas flaring on land dedicated to the permanent university fund.,House,2023-01-12,21.4658,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01276I.HTM
