Description,Chamber,Created date,Energy Policy Index,URL
"An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in sales and use tax, further providing for exclusions from tax.",Senate,2023-01-19,40.8511,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0061&pn=0055
"An Act amending the act of January 8, 1960 (1959 P.L.2119, No.787), known as the Air Pollution Control Act, further providing for powers and duties of the Department of Environmental Protection and for civil penalties.",Senate,2023-02-01,40.5,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0280&pn=0243
"An Act amending Title 53 (Municipalities Generally) of the Pennsylvania Consolidated Statutes, in preemptions, providing for restrictions on utility services prohibited.",Senate,2023-01-31,40.3777,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0143&pn=0154
A Resolution directing the Joint State Government Commission to conduct a study on the feasibility of using geothermal energy technologies that utilize abandoned mining locations and operations in this Commonwealth and issue a report of its findings and recommendations to the House of Representatives.,House,2022-05-10,40.0199,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0200&pn=3104
"A Resolution designating the week of April 10 through 16, 2022, as ""Conservation District Week"" in Pennsylvania.",Senate,2022-04-12,39.7714,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=R&billNbr=0269&pn=1574
"An Act amending the act of July 7, 1980 (P.L.380, No.97), known as the Solid Waste Management Act, in general provisions, further providing for definitions; in applications and permits, further providing for permit and license application requirements; and making a repeal.",Senate,2023-01-19,38.9934,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0028&pn=0046
"An Act amending the act of July 7, 2008 (P.L.654, No.55), known as the Bituminous Coal Mine Safety Act, in diesel-powered equipment, further providing for schedule of maintenance.",Senate,2022-06-03,38.9189,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=B&billNbr=1255&pn=1698
"An Act amending the act of July 7, 2008 (P.L.654, No.55), known as the Bituminous Coal Mine Safety Act, in diesel-powered equipment, further providing for schedule of maintenance.",Senate,2023-01-13,38.0134,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0115&pn=0041
"An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, providing for Green Vehicle Pilot Program.",House,2022-09-10,37.9056,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2804&pn=3441
An Act providing for standards for carbon monoxide alarms in child care facilities; and imposing penalties.,Senate,2023-01-31,36.7304,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0205&pn=0177
"An Act amending Title 15 (Corporations and Unincorporated Associations) of the Pennsylvania Consolidated Statutes, in corporate powers, duties and safeguards, further providing for additional powers of certain public utility corporations.",Senate,2023-02-21,36.4308,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0404&pn=0350
"A Resolution recognizing the week of April 22 through 30, 2022, as ""International Dark Sky Week"" in Pennsylvania.",Senate,2022-04-26,36.0,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=R&billNbr=0284&pn=1614
"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, further providing for drilling and natural gas; and establishing the Natural Gas Pipeline Development Program and the Natural Gas Pipeline Development Fund.",House,2022-03-23,35.2521,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2444&pn=2860
An Act providing standards for carbon monoxide alarms in child care facilities; and imposing penalties.,House,2022-04-08,35.1663,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2502&pn=2962
An Act providing for duty of Department of Environmental Protection to prohibit the construction or installation of wind turbines that negatively affect military installations.,House,2022-02-26,34.178,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2367&pn=2800
An Act abrogating certain regulations related to motor vehicle and fuel programs.,House,2022-10-20,34.1333,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2890&pn=3577
"A Resolution recognizing June 23, 2022, as the 40th anniversary of the Wild Resources Conservation Program in Pennsylvania.",Senate,2022-06-26,33.8028,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=R&billNbr=0319&pn=1821
"An Act amending the act of November 29, 2004 (P.L.1376, No.178), known as the Alternative Fuels Incentive Act, further providing for Alternative Fuels Incentive Fund.",House,2022-09-10,33.5664,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2802&pn=3439
An Act providing for the protection of water supplies.,Senate,2023-02-21,32.0,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0392&pn=0335
"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in firearms and other dangerous articles, providing for large capacity ammunition magazine permit and for large capacity ammunition magazines prohibition; authorizing the Attorney General to issue permits; and imposing penalties.",House,2022-05-25,31.7657,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=2621&pn=3159
"An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, further providing for relationship to solid waste and surface mining.",Senate,2023-01-19,31.0588,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0026&pn=0045
"An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, further providing for notification to public drinking water systems.",Senate,2023-01-19,30.3158,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0092&pn=0068
An Act providing for standards for carbon monoxide alarms in certain lodging establishments; and imposing penalties.,Senate,2023-02-21,29.6907,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0206&pn=0301
"A Resolution designating the week of September 18 through 24, 2022, as ""Climate Week"" in Pennsylvania.",Senate,2022-09-20,29.6296,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=S&billTyp=R&billNbr=0340&pn=1917
A Resolution directing the Joint State Government Commission to establish an advisory committee and provide a report to the House of Representatives on preventing and countering inflation and supply chain challenges in this Commonwealth.,House,2022-07-16,28.6179,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=R&billNbr=0222&pn=3394
"An Act amending the act of June 30, 1981 (P.L.128, No.43), known as the Agricultural Area Security Law, further providing for purchase of agricultural conservation easements and for Agricultural Conservation Easement Purchase Fund; and making editorial changes.",Senate,2023-02-01,28.3774,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0288&pn=0262
